sensor_id,temperature,timestamp,event_time,prev_temp,temp_change,moving_avg_temp,max_recent_temp,min_recent_temp
SENSOR_1,93.21,2026-05-04T17:56:43.704Z,2026-05-04T17:56:43.704Z,,,93.21,93.21,93.21
SENSOR_1,94.92,2026-05-04T17:58:43.704Z,2026-05-04T17:58:43.704Z,93.21,1.710000000000008,94.065,94.92,93.21
SENSOR_1,99.09,2026-05-04T18:03:43.704Z,2026-05-04T18:03:43.704Z,94.92,4.170000000000002,95.74000000000001,99.09,93.21
SENSOR_1,41.9,2026-05-04T18:04:43.704Z,2026-05-04T18:04:43.704Z,99.09,-57.190000000000005,78.63666666666667,99.09,41.9
SENSOR_1,86.2,2026-05-04T18:07:43.704Z,2026-05-04T18:07:43.704Z,41.9,44.300000000000004,75.73,99.09,41.9
SENSOR_1,90.81,2026-05-04T18:10:43.704Z,2026-05-04T18:10:43.704Z,86.2,4.609999999999999,72.97,90.81,41.9
SENSOR_1,78.62,2026-05-04T18:13:43.704Z,2026-05-04T18:13:43.704Z,90.81,-12.189999999999998,85.21,90.81,78.62
SENSOR_1,22.99,2026-05-04T18:18:43.704Z,2026-05-04T18:18:43.704Z,78.62,-55.63000000000001,64.14,90.81,22.99
SENSOR_1,48.03,2026-05-04T18:24:13.704Z,2026-05-04T18:24:13.704Z,22.99,25.040000000000003,49.879999999999995,78.62,22.99
SENSOR_1,32.95,2026-05-04T18:24:43.704Z,2026-05-04T18:24:43.704Z,48.03,-15.079999999999998,34.656666666666666,48.03,22.99
SENSOR_1,91.05,2026-05-04T18:26:43.704Z,2026-05-04T18:26:43.704Z,32.95,58.099999999999994,57.343333333333334,91.05,32.95
SENSOR_1,91.61,2026-05-04T18:28:13.704Z,2026-05-04T18:28:13.704Z,91.05,0.5600000000000023,71.87,91.61,32.95
SENSOR_1,30.97,2026-05-04T18:31:43.704Z,2026-05-04T18:31:43.704Z,91.61,-60.64,71.21,91.61,30.97
SENSOR_1,39.77,2026-05-04T18:37:13.704Z,2026-05-04T18:37:13.704Z,30.97,8.800000000000004,54.11666666666667,91.61,30.97
SENSOR_1,90.1,2026-05-04T18:38:43.704Z,2026-05-04T18:38:43.704Z,39.77,50.32999999999999,53.61333333333334,90.1,30.97
SENSOR_1,68.31,2026-05-04T18:43:13.704Z,2026-05-04T18:43:13.704Z,90.1,-21.789999999999992,66.06,90.1,39.77
SENSOR_1,83.95,2026-05-04T18:47:43.704Z,2026-05-04T18:47:43.704Z,68.31,15.64,80.78666666666668,90.1,68.31
SENSOR_1,36.29,2026-05-04T18:51:13.704Z,2026-05-04T18:51:13.704Z,83.95,-47.660000000000004,62.849999999999994,83.95,36.29
SENSOR_1,89.47,2026-05-04T18:56:13.704Z,2026-05-04T18:56:13.704Z,36.29,53.18,69.90333333333334,89.47,36.29
SENSOR_1,93.63,2026-05-04T18:57:13.704Z,2026-05-04T18:57:13.704Z,89.47,4.159999999999997,73.13,93.63,36.29
SENSOR_1,49.79,2026-05-04T19:08:13.704Z,2026-05-04T19:08:13.704Z,93.63,-43.839999999999996,77.63,93.63,49.79
SENSOR_1,31.98,2026-05-04T19:08:43.704Z,2026-05-04T19:08:43.704Z,49.79,-17.81,58.46666666666666,93.63,31.98
SENSOR_1,71.72,2026-05-04T19:11:13.704Z,2026-05-04T19:11:13.704Z,31.98,39.739999999999995,51.163333333333334,71.72,31.98
SENSOR_1,91.23,2026-05-04T19:11:43.704Z,2026-05-04T19:11:43.704Z,71.72,19.510000000000005,64.97666666666667,91.23,31.98
SENSOR_1,43.66,2026-05-04T19:19:43.704Z,2026-05-04T19:19:43.704Z,91.23,-47.57000000000001,68.86999999999999,91.23,43.66
SENSOR_1,30.78,2026-05-04T19:29:13.704Z,2026-05-04T19:29:13.704Z,43.66,-12.879999999999995,55.22333333333333,91.23,30.78
SENSOR_1,54.25,2026-05-04T19:33:13.704Z,2026-05-04T19:33:13.704Z,30.78,23.47,42.89666666666667,54.25,30.78
SENSOR_1,30.22,2026-05-04T19:42:13.704Z,2026-05-04T19:42:13.704Z,54.25,-24.03,38.416666666666664,54.25,30.22
SENSOR_1,82.17,2026-05-04T19:43:43.704Z,2026-05-04T19:43:43.704Z,30.22,51.95,55.54666666666666,82.17,30.22
SENSOR_1,93.4,2026-05-04T19:50:13.704Z,2026-05-04T19:50:13.704Z,82.17,11.230000000000004,68.59666666666668,93.4,30.22
SENSOR_1,41.39,2026-05-04T19:53:43.704Z,2026-05-04T19:53:43.704Z,93.4,-52.010000000000005,72.32,93.4,41.39
SENSOR_1,77.3,2026-05-04T19:59:13.704Z,2026-05-04T19:59:13.704Z,41.39,35.91,70.69666666666667,93.4,41.39
SENSOR_1,86.09,2026-05-04T20:02:43.704Z,2026-05-04T20:02:43.704Z,77.3,8.790000000000006,68.26,86.09,41.39
SENSOR_1,75.87,2026-05-04T20:04:43.704Z,2026-05-04T20:04:43.704Z,86.09,-10.219999999999999,79.75333333333333,86.09,75.87
SENSOR_1,36.26,2026-05-04T20:05:13.704Z,2026-05-04T20:05:13.704Z,75.87,-39.61000000000001,66.07333333333334,86.09,36.26
SENSOR_1,65.13,2026-05-04T20:06:43.704Z,2026-05-04T20:06:43.704Z,36.26,28.869999999999997,59.086666666666666,75.87,36.26
SENSOR_1,72.3,2026-05-04T20:07:43.704Z,2026-05-04T20:07:43.704Z,65.13,7.170000000000002,57.89666666666667,72.3,36.26
SENSOR_1,55.73,2026-05-04T20:23:13.704Z,2026-05-04T20:23:13.704Z,72.3,-16.57,64.38666666666667,72.3,55.73
SENSOR_1,97.11,2026-05-04T20:29:13.704Z,2026-05-04T20:29:13.704Z,55.73,41.38,75.04666666666667,97.11,55.73
SENSOR_1,39.07,2026-05-04T20:35:43.704Z,2026-05-04T20:35:43.704Z,97.11,-58.04,63.97,97.11,39.07
SENSOR_1,82.69,2026-05-04T20:38:43.704Z,2026-05-04T20:38:43.704Z,39.07,43.62,72.95666666666666,97.11,39.07
SENSOR_1,82.71,2026-05-04T20:42:43.704Z,2026-05-04T20:42:43.704Z,82.69,0.01999999999999602,68.15666666666665,82.71,39.07
SENSOR_1,55.66,2026-05-04T20:45:13.704Z,2026-05-04T20:45:13.704Z,82.71,-27.049999999999997,73.68666666666665,82.71,55.66
SENSOR_1,71.79,2026-05-04T20:49:43.704Z,2026-05-04T20:49:43.704Z,55.66,16.13000000000001,70.05333333333334,82.71,55.66
SENSOR_1,75.56,2026-05-04T20:50:13.704Z,2026-05-04T20:50:13.704Z,71.79,3.769999999999996,67.67,75.56,55.66
SENSOR_1,96.36,2026-05-04T20:51:13.704Z,2026-05-04T20:51:13.704Z,75.56,20.799999999999997,81.23666666666668,96.36,71.79
SENSOR_1,73.68,2026-05-04T21:00:13.704Z,2026-05-04T21:00:13.704Z,96.36,-22.679999999999993,81.86666666666667,96.36,73.68
SENSOR_1,59.3,2026-05-04T21:01:13.704Z,2026-05-04T21:01:13.704Z,73.68,-14.38000000000001,76.44666666666667,96.36,59.3
SENSOR_1,59.92,2026-05-04T21:06:13.704Z,2026-05-04T21:06:13.704Z,59.3,0.6200000000000045,64.30000000000001,73.68,59.3
SENSOR_1,23.73,2026-05-04T21:09:43.704Z,2026-05-04T21:09:43.704Z,59.92,-36.19,47.65,59.92,23.73
SENSOR_1,42.72,2026-05-04T21:14:43.704Z,2026-05-04T21:14:43.704Z,23.73,18.99,42.123333333333335,59.92,23.73
SENSOR_1,35.35,2026-05-04T21:29:43.704Z,2026-05-04T21:29:43.704Z,42.72,-7.369999999999997,33.93333333333334,42.72,23.73
SENSOR_1,78.08,2026-05-04T21:31:43.704Z,2026-05-04T21:31:43.704Z,35.35,42.73,52.04999999999999,78.08,35.35
SENSOR_1,91.54,2026-05-04T21:32:43.704Z,2026-05-04T21:32:43.704Z,78.08,13.460000000000008,68.32333333333334,91.54,35.35
SENSOR_1,67.52,2026-05-04T21:34:43.704Z,2026-05-04T21:34:43.704Z,91.54,-24.02000000000001,79.04666666666667,91.54,67.52
SENSOR_1,77.88,2026-05-04T21:36:13.704Z,2026-05-04T21:36:13.704Z,67.52,10.36,78.98,91.54,67.52
SENSOR_1,32.56,2026-05-04T21:37:13.704Z,2026-05-04T21:37:13.704Z,77.88,-45.31999999999999,59.31999999999999,77.88,32.56
SENSOR_1,76.92,2026-05-04T21:48:13.704Z,2026-05-04T21:48:13.704Z,32.56,44.36,62.45333333333334,77.88,32.56
SENSOR_1,22.78,2026-05-04T21:58:43.704Z,2026-05-04T21:58:43.704Z,76.92,-54.14,44.086666666666666,76.92,22.78
SENSOR_1,21.9,2026-05-04T22:07:13.704Z,2026-05-04T22:07:13.704Z,22.78,-0.8800000000000026,40.53333333333333,76.92,21.9
SENSOR_1,41.53,2026-05-04T22:19:43.704Z,2026-05-04T22:19:43.704Z,21.9,19.630000000000003,28.736666666666668,41.53,21.9
SENSOR_1,88.75,2026-05-04T22:22:43.704Z,2026-05-04T22:22:43.704Z,41.53,47.22,50.72666666666667,88.75,21.9
SENSOR_1,87.08,2026-05-04T22:27:43.704Z,2026-05-04T22:27:43.704Z,88.75,-1.6700000000000017,72.45333333333333,88.75,41.53
SENSOR_1,82.1,2026-05-04T22:28:13.704Z,2026-05-04T22:28:13.704Z,87.08,-4.980000000000004,85.97666666666665,88.75,82.1
SENSOR_1,31.56,2026-05-04T22:29:13.704Z,2026-05-04T22:29:13.704Z,82.1,-50.53999999999999,66.91333333333334,87.08,31.56
SENSOR_1,56.15,2026-05-04T22:43:13.704Z,2026-05-04T22:43:13.704Z,31.56,24.59,56.60333333333333,82.1,31.56
SENSOR_1,73.13,2026-05-04T22:51:13.704Z,2026-05-04T22:51:13.704Z,56.15,16.979999999999997,53.61333333333332,73.13,31.56
SENSOR_1,58.61,2026-05-04T22:58:13.704Z,2026-05-04T22:58:13.704Z,73.13,-14.519999999999996,62.629999999999995,73.13,56.15
SENSOR_1,32.39,2026-05-04T23:04:13.704Z,2026-05-04T23:04:13.704Z,58.61,-26.22,54.71,73.13,32.39
SENSOR_1,76.41,2026-05-04T23:07:43.704Z,2026-05-04T23:07:43.704Z,32.39,44.019999999999996,55.803333333333335,76.41,32.39
SENSOR_1,85.7,2026-05-04T23:13:43.704Z,2026-05-04T23:13:43.704Z,76.41,9.290000000000006,64.83333333333333,85.7,32.39
SENSOR_1,68.91,2026-05-04T23:19:43.704Z,2026-05-04T23:19:43.704Z,85.7,-16.790000000000006,77.00666666666667,85.7,68.91
